Time,PointCut,[T]totalTM,[T]FPSR,[1]totalFr,[2]totalTm,[1]totalTm,[1]outSze[T],[1]outSze[2],[2]outSize,[1]GPU_time,[2]GPU_time,[1]peak_RAM,[2]peak_RAM,[1]peak_VRAM,[2]peak_VRAM
56:56.4,-1,10.63977,-1,61,5.80477,4.23258,2.3 MB,11.6 MB,2.0 B,0.56751,-1,-1,-1,-1,-1
57:33.1,-1,9.1493,-1,61,4.95832,3.61069,2.3 MB,11.6 MB,2.0 B,0.61567,-1,-1,-1,-1,-1
45:10.2,-1,10.51324,-1,61,6.03301,4.78164,2.3 MB,11.6 MB,2.0 B,0.58305,-1,935.32812,-1,101.67236,-1
47:29.9,-1,13.43632,-1,61,5.44255,4.07227,2.3 MB,11.6 MB,2.0 B,0.63676,0.80177,935.59375,883.84766,101.67236,85.47705
23:49:33.437,-1,14.48249,-1,61,5.80443,4.31411,2.3 MB,11.6 MB,2.0 B,0.55825,0.77271s,934.77344,883.71094,101.67236,85.47705
23:51:53.514,-1,12.87957,-1,61,5.65197,4.38035,2.3 MB,11.6 MB,2.0 B,0.56168s,0.77156s,935.711MB,886.48MB,101.672MB,86.508MB
23:52:15.928,-1,10.44019,-1,61,5.33917,3.95496,2.3 MB,11.6 MB,2.0 B,0.64358s,0.81469s,936.02MB,882.789MB,101.672MB,85.477MB
23:53:31.879,-1,10.77547,-1,61,5.90696,-1,-1,-1,2.0 B,-1,0.79825s,-1,883.375MB,-1,85.477MB
23:57:36.860,-1,10.29254,-1,61,6.17566,-1,-1,-1,2.0 B,-1,0.82903s,-1,885.453MB,-1,86.508MB
23:58:29.668,-1,11.13849,-1,61,6.04198,-1,-1,-1,2.0 B,-1,0.83555s,-1,883.297MB,-1,85.477MB
0:2:17.841,-1,13.42631,-1,61,5.26875,-1,-1,-1,2.0 B,-1,0.78076s,-1,883.348MB,-1,85.477MB
0:2:58.835,-1,14.45452,-1,61,5.8344,-1,-1,-1,2.0 B,-1,0.78706s,-1,883.301MB,-1,85.477MB
0:3:48.972,-1,14.55343,-1,61,6.03725,-1,-1,-1,2.0 B,-1,0.70021s,-1,883.535MB,-1,85.477MB
0:4:20.463,-1,14.14639,-1,61,5.36483,-1,-1,-1,2.0 B,-1,0.81954s,-1,883.32MB,-1,85.477MB
0:5:57.228,-1,14.41588,-1,61,6.14492,-1,-1,-1,2.0 B,-1,0.76675s,-1,884.27MB,-1,85.477MB
0:6:29.684,-1,14.19091,-1,61,5.97574,-1,-1,-1,2.0 B,-1,0.80549s,-1,887.227MB,-1,86.508MB
0:16:47.336,-1,10.10416,-1,61,5.04261,-1,-1,-1,2.0 B,-1,0.74444s,-1,883.949MB,-1,85.477MB
0:17:46.151,-1,16.30704,-1,61,5.7357,-1,-1,-1,2.0 B,-1,0.78968s,-1,881.375MB,-1,85.477MB
0:21:3.506,-1,13.33204,-1,61,5.14314,-1,-1,-1,2.0 B,-1,0.80152s,-1,883.34MB,-1,85.477MB
0:22:45.825,-1,14.30455,-1,61,5.55439,-1,-1,-1,2.0 B,-1,0.67674s,-1,882.848MB,-1,85.477MB
0:25:41.409,-1,16.23569,-1,61,5.9843,-1,-1,-1,2.0 B,-1,0.79911s,-1,882.758MB,-1,85.477MB
